name,growth_rate,exposure,soil,hardiness,water,height,spread,colourInSummer,colourInFall,colourPetals,slideShow
sweet potato vine,Fast,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate,0.4,1.0,,Green,"Showy, White, Magenta",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50280CA0>
bloodleaf,,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),Moderate,1.3,1.0,,,"Not showy, White, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51963FD0>
"German iris, tall bearded iris",Fast,Full sun,,Zone 3: (-40 to -34 C),,1.3,0.6,,,"White, Violet, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5025B160>
Dutch iris,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,1.3,0.3,,,"Showy, White, Violet, Blue, Yellow, (Some bicolored cvs.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50774D00>
Juno iris,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,0.4,0.6,,Yellow,"Showy, White, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D08A00>
Japanese water iris,Moderate,"Full sun, Part sun/part shade",Humus rich,Zone 5: (-29 to -23 C),Aquatic,1.3,,,Yellow,"Showy, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF500228B0>
variegated sweet iris,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low,1.3,1.0,"Green, Silver / Grayish",,"Showy, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FD3190>
yellow flag iris,Fast,"Filtered shade, Full sun, Part sun/part shade",Humus rich,Zone 5: (-29 to -23 C),"Aquatic, Moderate, Wetlands",2.0,2.0,,Green-yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DE0F70>
dwarf iris,,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate,0.2,0.1,,Green,"Violet, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50058C10>
Siberian iris,Fast,"Full sun, Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich, Well-drained",Zone 3: (-40 to -34 C),"Aquatic, Moderate, Wetlands",0.7,0.6,,"Brown, Yellow","Showy, White, Blue, Violet, Purple, Magenta, (cv. Caesar's Brother is purplish; cv. Alba' is white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50667820>
fiber optic grass,Moderate,"Full sun, Part sun/part shade",Bog,Zone 8a: (-12 to -9.5 C),"Aquatic, Wetlands",0.2,0.3,,Dark-green,"Not showy, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50019D30>
dusty miller,Moderate,Full sun,Well-drained,Zone 7: (-18 to -12 C),Low,0.4,0.6,,Silver / Grayish,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502F4850>
winter jasmine,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,3,3,,Yellow,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503FF1F0>
jasmine,Fast,Full sun,,Zone 9: (-7 to -1 C),,2.0,0.6,,Green,"Showy, White, Pink, Purple, (pink in bud)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x937 at 0x7FBF502D8430>
black walnut,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate,30,25,,Yellow,"Showy, Green, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D9C490>
corkscrew rush,Moderate,"Full sun, Part sun/part shade","Acidic, Bog, Rocky or gravelly or dry",Zone 7: (-18 to -12 C),"Aquatic, Wetlands",0.7,0.6,,Dark-green,"Not showy, Green-yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D140D0>
"common rush, bog rush",Fast,"Full sun, Part sun/part shade",Bog,Zone 6: (-23 to -18 C),"High, Moderate",1.3,1.5,,Brown,"Showy, Green, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DC5190>
"dagger-leaved rush, swordleaf rush",Fast,"Full sun only if soil kept moist, Part sun/part shade",Bog,Zone 3: (-40 to -34 C),High,0.7,0.3,,,"Showy, Green, Dark-red, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B01430>
Hollywood juniper,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate,7,4,,Green,"No flowers, Green, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503FF460>
common juniper,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Low,2.0,2.0,"Bluish, Green","Green, Bluish","No flowers, Brown, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E263A0>
"creeping juniper, horizontal juniper",Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Low,0.4,3,"Bluish, Green","Bluish, Green","No flowers, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506EDA60>
dwarf Japanese garden juniper,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Low,0.7,2.0,,"Bluish, Green","No flowers, Brown, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51E304F0>
"tamarix juniper, savin juniper",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Summer dry,2.0,2.0,,Dark-green,"No flowers, Yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C51A00>
"Rocky Mountain juniper, Wichita Blue juniper, Tolleson's Blue Weeping juniper",Slow,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Low, Moderate",3,1.5,"Bluish, Green","Bluish, Green","No flowers, Yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519CC070>
"squamata juniper, Blue Star juniper",Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Moderate,1.3,1.5,"Green, Bluish","Green, Bluish","No flowers, Brown, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BF3580>
shrimp plant,,Full sun,,Zone 9: (-7 to -1 C),Moderate,0.4,0.3,,,"Showy, Yellow, Red, Pink, (depends on cultivar - red and pink is more common)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50707040>
kalanchoe,Slow,,Well-drained,Zone 10: (-1 to 4 C),Low,0.4,0.6,,Green,"Showy, Yellow, Pink, Red, Dark-red, Orange",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51F3D400>
panda plant,,,Well-drained,Zone 10: (-1 to 4 C),Low,1.3,0.3,,,"Not showy, Silver, Red, Green, Yellow, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5201A670>
mountain laurel,Moderate,Part sun/part shade,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,3,5,,Green,"Showy, White, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B4CF10>
western bog laurel,Slow,"Full sun, Part sun/part shade","Acidic, Bog",Zone 2: (-46 to -40 C),,0.4,0.3,,Dark-green,"Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503BA3A0>
Japanese kerria,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),"High, Moderate",3,3,,Yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C2B2E0>
yellow waxbells,Fast,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low,1.3,1.0,,Yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503BA730>
field scabious,Fast,Full sun,,Zone 3: (-40 to -34 C),"Low, Summer dry",1.3,1.0,,Green,"Showy, Violet, Blue, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF500199A0>
crimson scabious,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry",1.3,1.0,,Green,"Showy, Red, Magenta",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5004C070>
red hot poker,Moderate,Full sun,"Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate,1.3,0.6,"Bluish, Green",,"Showy, Yellow, Orange, Red, (red in bud then orange then fading to yellow)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FE5790>
glaucous hair grass,Fast,,,Zone 6: (-23 to -18 C),,0.4,0.6,,,"Green, Silver",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B56400>
golden rain tree,,Full sun,"Humus rich, Well-drained",Zone 6: (-23 to -18 C),,10,10,,Yellow,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF5060CA60>
beautybush,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),"Low, Moderate",3,4,,Red,"Showy, Pink, (pale to deep pink (especially in bud), yellow to orange throat)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5064DA00>
golden chain tree,Moderate,Full sun,,Zone 6: (-23 to -18 C),,10,10,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50022190>
wall lettuce,Fast,"Filtered shade, Full sun, Full sun only if soil kept moist, Part sun/part shade",Rocky or gravelly or dry,Zone 8b: (-9.4 to -7 C),,1.3,0.6,,Yellow,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DC1550>
lettuce,Fast,Full sun,,Zone 2: (-46 to -40 C),Moderate,0.4,0.6,"Green, Dark-red",,"Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503E9130>
gourd,Fast,Full sun,Well-drained,Zone 2: (-46 to -40 C),Moderate,2.0,5,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5006DDF0>
"lamium, variegated yellow archangel",Fast,Part sun/part shade,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),"Low, Moderate",0.7,,"Green, Silver / Grayish",,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x932 at 0x7FBF51F4E670>
"spotted deadnettle, dead nettle",Fast,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate,0.4,1.0,"Green, Pink, Silver / Grayish",,"Showy, White, Violet, Pink, Purple, Red, Magenta",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D08340>
trailing ice plant,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 9: (-7 to -1 C),,0.2,0.6,,Green,"Showy, Orange, Yellow, Purple, Red, Pink, Violet, Magenta",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502D8A30>
bleeding heart,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade, Sheltered","Alkaline, Humus rich",Zone 3: (-40 to -34 C),Moderate,1.3,0.6,,"Yellow, Brown","Showy, White, Pink, (Some images are of cv. Alba (white flowers))",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E51DF0>
lantana,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate,2.0,1.5,,Green,"Showy, White, Yellow, Orange, Pink, Red, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50068160>
European larch,Fast,Full sun,"Acidic, Well-drained",Zone 2: (-46 to -40 C),Moderate,22,10,,Yellow,"No flowers, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503F05E0>
Japanese larch,,,,Zone 4: (-34 to -29 C),,30,,"Green, Silver / Grayish",,"No flowers, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D97D60>
"tamarack, eastern larch",Moderate,Full sun,"Acidic, Bog, Humus rich, Well-drained",Zone 2: (-46 to -40 C),"Moderate, Wetlands",22,,,Yellow,"No flowers, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51951400>
western larch (seedling),Moderate,"Filtered shade, Full sun",,Zone 4: (-34 to -29 C),,30,25,,Yellow,"No flowers, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507403D0>
"perennial pea, everlasting pea",Fast,Full sun,,Zone 3: (-40 to -34 C),,3,2.0,,,"Showy, Pink, Purple, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50755160>
sweet pea,Fast,,,Zone 2: (-46 to -40 C),,2.0,1.0,,,"Showy, White, Purple, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E3CA00>
bay laurel,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),,3,2.0,,Dark-green,"Not showy, Green-yellow, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D30EB0>
English lavender,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry, Winter dry",0.7,1.0,"Silver / Grayish, Green, bright green in early spring soon turning gray-green",Silver / Grayish,"Showy, Violet, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF503F0C70>
"French lavender, Spanish lavender",Slow,Full sun,Well-drained,Zone 7: (-18 to -12 C),Low,0.7,1.0,,Silver / Grayish,"Showy, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50318880>
common duckweed,Fast,Full sun,Bog,Zone 4: (-34 to -29 C),"High, Wetlands",0.1,5,,Green,"Not showy, Green-yellow, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50365460>
brass buttons,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),Low,0.2,0.3,"Green, Nearly Black",Bronze,"Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50068970>
purple bush clover,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Low,2.0,2.0,"Bluish, Green",Bluish,"Showy, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5207B0D0>
Shasta daisy,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate,1.3,1.0,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5198C250>
oxeye daisy,Fast,Full sun,,Zone 3: (-40 to -34 C),Low,0.7,0.6,,,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E201F0>
coast leucothoe,,Part sun/part shade,,Zone 6: (-23 to -18 C),,1.3,1.5,,,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EA3340>
Rainbow leucothoe,Slow,"Deep shade, Filtered shade, Part sun/part shade",Acidic,Zone 5: (-29 to -23 C),Moderate,1.3,2.0,"Green, Yellow, Red","Green, Yellow, Red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B1B6A0>
"lovage, garden lovage",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate,2.0,1.0,,Green-yellow,Green-yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DE0E50>
lewisia,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Low,0.2,0.3,,Dark-green,"Showy, Yellow, Orange, Pink, Purple, Red, Dark-red, Magenta, (sometimes striped)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A107C0>
Himalayan honeysuckle,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate,2.0,3,,"Green, Purple, Red","Showy, White, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D8C160>
"blazing star, liatris",,Full sun,,Zone 4: (-34 to -29 C),High,1.3,0.6,,Yellow,"Showy, White, Violet, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50048250>
bigleaf goldenray,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 4: (-34 to -29 C),High,1.3,1.5,"Green, Purple, cv. 'Desemona's' leaves are mahogany coloured on the underside","Green, Purple","Showy, Yellow, Orange",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E30190>
ligularia,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 4: (-34 to -29 C),Moderate,1.3,1.5,,Green,"Showy, Yellow, (Ligularia stenocephala 'Little Rocket' has very bright yellow blooms.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B1BE50>
Amur privet,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,5,5,,,"Showy, White, (cream)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50613130>
common privet,Fast,Full sun,,Zone 5: (-29 to -23 C),,3,3,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FF2460>
Asiatic hybrid lily,,Full sun,Well-drained,Zone 3: (-40 to -34 C),Moderate,2.0,0.3,,,"White, Yellow, Orange, Pink, Red, Magenta, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D8CA90>
Oriental hybrid lily,,Full sun,,Zone 3: (-40 to -34 C),,1.3,0.3,,,"Showy, White, Pink, Red, Dark-red, Orange, (Includes bicolors)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A19AC0>
tiger lily,Fast,Full sun,,Zone 2: (-46 to -40 C),,1.3,0.6,,,"Showy, Yellow, Orange, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50775A90>
Easter lily,,,Well-drained,Zone 7: (-18 to -12 C),Moderate,1.3,0.3,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FCC8E0>
annual statice,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),Summer dry,0.7,0.3,,,"White, Violet, Yellow, Orange, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50671EB0>
twin flower,Slow,Part sun/part shade,"Acidic, Well-drained",Zone 2: (-46 to -40 C),Low,0.1,0.1,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50329430>
blue flax,,Full sun,Rocky or gravelly or dry,Zone 5: (-29 to -23 C),,0.7,0.1,,,"Showy, Violet, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503C0160>
American sweetgum,Moderate,Full sun,Acidic,Zone 5: (-29 to -23 C),Moderate,22,15,,"Yellow, Orange, Red, Dark-red","Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519451F0>
Chinese tulip tree,Fast,Full sun,"Acidic, Well-drained",Zone 7: (-18 to -12 C),Low,15,10,,Yellow,"Showy, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519BB310>
"tulip tree, yellow poplar",Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,30,25,,Yellow,"Showy, Green, Yellow, (Inside of corolla base orange)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CF54C0>
variegated tulip tree,Fast,Full sun,"Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate,22,10,,Yellow,"Showy, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CF1340>
"big blue lilyturf, monkey grass",Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),"Low, Moderate",0.4,0.6,,Green-yellow,"Showy, Violet, Blue, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519E48E0>
blue lithospermum,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Low,0.4,2.0,,Dark-green,"Showy, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BEF040>
lobelia,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,0.4,0.6,,,"Showy, Red, Pink, Purple, Blue, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503195E0>
cardinal flower,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,1.3,0.3,,,"Showy, Red, (Scalet red with reddish-purple bracts (white, pink salomon/ cream and dark red cvs. also exist).)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F79B50>
lobelia,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),High,0.2,0.3,"Green, Bronze",,"Showy, White, Violet, Blue, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506BFFD0>
"matted pratia, trailing pratia",Moderate,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),,0.1,0.3,,,"Showy, White, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519235B0>
"sweet alyssum, alyssum",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate,0.2,0.3,"Green, Silver / Grayish, grey-green",Yellow,"Showy, White, Violet, Pink, (cv. dependant)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AF18B0>
"annual ryegrass, Italian ryegrass",Fast,,,Zone 5: (-29 to -23 C),,,,,,"Dark-red, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5028B0D0>
perennial ryegrass,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,0.7,0.6,,,"Yellow, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51989190>
scarlet trumpet honeysuckle,Moderate,Full sun,Well-drained,Zone 2: (-46 to -40 C),Moderate,5,2.0,,,"Showy, Orange, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51BB7E80>
Henry honeysuckle,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate,5,3,,Yellow,"Showy, Yellow, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A5E250>
"black twinberry, bearberry honeysuckle",Fast,"Full sun, Part sun/part shade",Humus rich,Zone 6: (-23 to -18 C),"High, Moderate",3,3,,Green-yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50048940>
Japanese honeysuckle,Fast,"Full sun, Part sun/part shade","Acidic, Alkaline, Rocky or gravelly or dry",Zone 4: (-34 to -29 C),,10,4,"Green, Purple, Petioles and major veins are purplish.",Yellow,"Showy, Yellow, Dark-red, Pink, Red, (Maroon outside and yellowish to white inside.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503D7AF0>
boxleaf honeysuckle,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,2.0,2.0,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5198B070>
boxleaf honeysuckle,,Part sun/part shade,Well-drained,Zone 7: (-18 to -12 C),Moderate,2.0,2.0,"Green, Yellow",,"Showy, White, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B41070>
privet honeysuckle,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate,0.7,3,,Green,"White, Yellow, (Light yellow to creamy-white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ACF550>
"Emerald Mound shrub honeysuckle, fly honeysuckle",Fast,Full sun,"Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate,3,3,,,"White, Yellow, (othen tinged red)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x971 at 0x7FBF50610EB0>
creeping gloxinia,Fast,Full sun,Well-drained,Zone 11: (above 4 C),Moderate,3,0.6,,,"Showy, Pink, Red, White, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50630C10>
asarina,,Full sun,Well-drained,Zone 11: (above 4 C),,0.7,0.6,,,"Pink, Purple, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FE0190>
"parrot's beak, coral gem, pelican's beak , lotus vine",Fast,Full sun,Well-drained,Zone 10: (-1 to 4 C),,0.1,0.3,,,"Showy, Orange, Red, Dark-red, (black centered)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50054DF0>
"silver dollar plant, money plant",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),,1.3,0.6,,Yellow,"White, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AE4760>
lupine,Fast,Full sun,,Zone 4: (-34 to -29 C),,1.3,0.6,,,"White, Blue, Yellow, Orange, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5197B7C0>
snowy woodrush,Fast,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),,0.7,0.6,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5067C820>
