name,growth_rate,exposure,soil,hardiness,water
"yellow epimedium, barrenwort ",Moderate,"Filtered shade, Part sun/part shade, Sheltered","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
hybrid barrenwort ,Slow,"Filtered shade, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
"devil's ivy , golden pothos ",Fast,"Full sun, Part sun/part shade, Sheltered",Well-drained,Zone 10: (-1 to 4 C),NA
horsetail ,Fast,"Filtered shade, Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
common horsetail ,Fast,"Deep shade, Filtered shade, Full sun",,Zone 2: (-46 to -40 C),Moderate
"scouring rush , horsetail ",Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Bog,Zone 4: (-34 to -29 C),Aquatic
foxtail lily ,,Full sun,,Zone 6: (-23 to -18 C),NA
"heath, Darley Dale heath",Slow,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),NA
winter heather ,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
cross leaved heath ,,Full sun,,Zone 5: (-29 to -23 C),NA
"seaside daisy , beach aster ",,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
alpine sea holly ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),"Low, Summer dry, Winter dry"
"blue sea holly, flat sea holly ",Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),NA
"marble-leaf sea holly, Moroccan sea holly ",Slow,Full sun,Rocky or gravelly or dry,Zone 5: (-29 to -23 C),Low
Bowles Mauve wallflower ,Moderate,"Full sun, Part sun/part shade","Alkaline, Well-drained",Zone 6: (-23 to -18 C),Low
English wallflower ,Slow,Full sun,Well-drained,Zone 6: (-23 to -18 C),"Low, Moderate"
hybrid fawn lily ,Fast,"Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),"Moderate, Summer dry"
"trout lily , adder's tongue ",Moderate,"Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 3: (-40 to -34 C),"Moderate, Summer dry"
pink princess escallonia,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),Low
California poppy ,Fast,Full sun,Well-drained,Zone 6: (-23 to -18 C),Low
eucalyptus,Fast,Full sun,,Zone 8b: (-9.4 to -7 C),NA
"burning bush, winged euonymus, winged burning bush ",Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
"common spindle tree, European euonymus",Moderate,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Low
"wintercreeper, winter creeper ",Moderate,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Silver King euonymus,Moderate,Full sun,Well-drained,Zone 6: (-23 to -18 C),NA
Paloma Blanca euonymus,Moderate,Full sun,Well-drained,Zone 6: (-23 to -18 C),NA
"double hemp agrimony, boneset ",Fast,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
hybrid spurge ,Moderate,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),Low
Redwing spurge ,Fast,Full sun,Well-drained,Zone 6: (-23 to -18 C),Low
"wood spurge, Mrs. Robb's bonnet, purple wood spurge ",Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 6: (-23 to -18 C),High
Mediterranean spurge ,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),Low
cypress spurge ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Moderate
sweet spurge ,Moderate,"Filtered shade, Full sun",Well-drained,Zone 4: (-34 to -29 C),"Low, Moderate"
"green spurge, leafy spurge",Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate
Fireglow spurge ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low
"euphorbia, graceful spurge ",,Full sun,,Zone 9: (-7 to -1 C),NA
corncob plant,,,Well-drained,Zone 9: (-7 to -1 C),Low
crown of thorns,,,Well-drained,Zone 10: (-1 to 4 C),Low
"myrtle spurge, donkey-tail spurge ",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry"
"golden spurge, cushion spurge ",Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate
poinsettia,Moderate,,Well-drained,Zone 9: (-7 to -1 C),Moderate
African milk tree,Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 10: (-1 to 4 C),Low
"lisianthus , prairie gentian , Texas bluebell ",,,Well-drained,Zone 9: (-7 to -1 C),Moderate
Joe Pye weed ,Fast,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Moderate"
Snowy Day Blizzard pearlbush ,,Full sun,"Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
American beech ,Slow,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate
European beech ,Moderate,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Moderate
Dawyck purple beech ,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
fern-leaf beech ,Moderate,Full sun,"Alkaline, Well-drained",Zone 5: (-29 to -23 C),Low
red obelisk beech ,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
gold columnar beech ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
round leaf beech ,,Full sun,,Zone 5: (-29 to -23 C),NA
copper beech ,Fast,Full sun,,Zone 5: (-29 to -23 C),NA
weeping copper beech ,Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Moderate
weeping purple beech ,Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Moderate
"creeping falkia, African morning glory ",,"Filtered shade, Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
silver lace vine ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),Moderate
Japanese knotweed ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),Moderate
fountain bamboo ,Slow,"Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 7: (-18 to -12 C),Moderate
fatsia,Moderate,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
tiger's jaws ,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 9: (-7 to -1 C),Low
"blue marguerite, blue daisy ",Fast,Full sun,,Zone 9: (-7 to -1 C),Moderate
barrel cactus ,,,Well-drained,Zone 10: (-1 to 4 C),Low
tall fescue ,,Full sun,,Zone 4: (-34 to -29 C),NA
"blue fescue, blue sheep fescue ",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Low, Moderate"
"Idaho fescue , blue bunchgrass ",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Low
"hard fescue, fine fescue ",,,,Zone 4: (-34 to -29 C),NA
"sheep fescue, fine fescue ",,,,Zone 2: (-46 to -40 C),NA
creeping red fescue ,Moderate,"Filtered shade, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
Nefer fescue ,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),NA
"weeping ficus, weeping fig ",Fast,Part sun/part shade,Well-drained,Zone 10: (-1 to 4 C),Moderate
sabre fig ,,,,Zone 10: (-1 to 4 C),Moderate
"common fig, garden fig ",,Full sun,Well-drained,Zone 6: (-23 to -18 C),NA
"rubber plant, India rubber plant, rubber tree",,Part sun/part shade,"Humus rich, Well-drained",Zone 10: (-1 to 4 C),Moderate
fiddle-leaf fig ,,,,Zone 10: (-1 to 4 C),Moderate
creeping fig ,Fast,Part sun/part shade,,Zone 9: (-7 to -1 C),Moderate
Japanese meadowsweet ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Alkaline, Bog, Humus rich",Zone 4: (-34 to -29 C),Moderate
golden European meadowsweet ,Fast,"Filtered shade, Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),Wetlands
dropwort ,,Full sun,Alkaline,Zone 3: (-40 to -34 C),Summer dry
white nerve plant,Fast,"Filtered shade, Part sun/part shade",,Zone 11: (above 4 C),Moderate
fennel ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low
showy forsythia,Fast,"Filtered shade, Full sun",Well-drained,Zone 5: (-29 to -23 C),Low
"dwarf fothergilla, witch alder ",Moderate,"Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
"fothergilla, witch alder ",,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),High
garden strawberry ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
Pink Panda strawberry ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),NA
"coastal strawberry, wild strawberry ",Slow,"Full sun, Part sun/part shade","Humus rich, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
cascara ,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 7: (-18 to -12 C),Moderate
hybrid ash,Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),Moderate
"American ash, white ash ",Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
narrow-leafed ash,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
common or European ash ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
"Fallgold black ash, swamp ash ",Moderate,"Full sun, Part sun/part shade",Bog,Zone 2: (-46 to -40 C),Wetlands
"flowering ash, manna ash ",Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),NA
green ash ,Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),Moderate
freesia,Fast,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),NA
"fremontia , California flannel bush ",Moderate,Full sun,,Zone 8a: (-12 to -9.5 C),NA
crown imperial ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Guinea hen flower ,Fast,Part sun/part shade,,Zone 4: (-34 to -29 C),NA
fritillary,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
hybrid fuchsia,Fast,"Deep shade, Filtered shade, Full sun",Well-drained,Zone 10: (-1 to 4 C),Moderate
hardy fuchsia,Moderate,"Filtered shade, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
pink hardy fuchsia,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),"Low, Summer dry"
Riccartoni hardy fuchsia,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),"Low, Summer dry"
fumitory ,Moderate,"Full sun, Part sun/part shade",,Zone 1: (below -46 C),NA
blanket flower ,,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
snowdrop ,Fast,"Filtered shade, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
"northern bedstraw , cleavers ",Fast,"Filtered shade, Full sun",,Zone 4: (-34 to -29 C),Low
sweet woodruff,Slow,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
gardenia,,Part sun/part shade,,Zone 8b: (-9.4 to -7 C),Moderate
"coast silk-tassel, silk tasselbush or wavyleaf silktassel ",Moderate,,"Humus rich, Well-drained",Zone 8a: (-12 to -9.5 C),NA
pernettya; prickly heath ,Moderate,"Filtered shade, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
wintergreen ,Slow,"Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
salal ,Moderate,"Filtered shade, Full sun","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
"wand flower, bee blossom ",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),Low
"gazania, treasure flower, African daisy",,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
lydia genista,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),"Low, Summer dry, Winter dry"
spreading broom ,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
pink cranesbill,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
"hybrid cranesbill, blue geranium",Moderate,,,Zone 2: (-46 to -40 C),NA
geranium,Moderate,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
dwarf cranesbill,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
Endres's cranesbill,,,,Zone 5: (-29 to -23 C),NA
Ingwersen's Variety bigroot geranium,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 2: (-46 to -40 C),Low
dove's foot cranebill,Fast,"Filtered shade, Full sun",Well-drained,Zone 6: (-23 to -18 C),Moderate
mourning widow ,Fast,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low
meadow cranesbill,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Armenium cranesbill,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
"Robert geranium, herb Robert",Moderate,"Filtered shade, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),NA
bloody cranesbill,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
Transvaal daisy ,Moderate,Full sun,Well-drained,Zone 8b: (-9.4 to -7 C),Moderate
"dwarf orange geum, avens ",,"Full sun only if soil kept moist, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
large-leaved avens ,,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
Tahitian bridal veil ,,Part sun/part shade,,Zone 10: (-1 to 4 C),Moderate
"maidenhair tree, ginkgo",Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),"Low, Moderate"
gladiolus,,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
trailing verbena,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Low
"creeping Charlie , ground ivy ",Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
thornless honey locust ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),NA
variegated manna grass ,Fast,"Full sun, Part sun/part shade",Bog,Zone 4: (-34 to -29 C),"Aquatic, Wetlands"
marsh cudweed ,Fast,"Full sun, Part sun/part shade",,Zone 2: (-46 to -40 C),NA
"gunnera, giant rhubarb ",Fast,"Full sun, Part sun/part shade",Humus rich,Zone 7: (-18 to -12 C),High
"scarlet star, vase plant",Slow,"Filtered shade, Part sun/part shade",,Zone 10: (-1 to 4 C),Low
oak fern ,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Moderate
Kentucky coffee tree,Slow,Full sun,,Zone 3: (-40 to -34 C),NA
purple passion plant,,,,Zone 10: (-1 to 4 C),Moderate
baby's breath ,Moderate,Full sun,"Alkaline, Well-drained",Zone 3: (-40 to -34 C),"Low, Moderate"
golden variegated hakonechloa,Moderate,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
Carolina silverbell ,Moderate,"Full sun, Part sun/part shade, Sheltered","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
mountain silverbell ,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Wetlands
hybrid witch hazel ,,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
Chinese witch hazel ,Slow,Full sun,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
American witch hazel ,,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
Easter cactus ,,,Well-drained,Zone 9: (-7 to -1 C),Low
zebra haworthia,,,Well-drained,Zone 10: (-1 to 4 C),Low
Mrs. Winder hebe ,Moderate,Full sun,Well-drained,Zone 7: (-18 to -12 C),"Low, Summer dry"
Blue Mist hebe ,Moderate,Part sun/part shade,Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
ochre whipcord hebe,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Low
hebe,Moderate,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),"Low, Moderate"
variegated Persian ivy ,Fast,"Filtered shade, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Moderate
English ivy ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Low
Zimbelstern sneezeweed ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
sunflower ,Fast,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate
Jerusalem artichoke ,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
"curry plant, tall curry",,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),"Low, Winter dry"
licorice plant,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 10: (-1 to 4 C),"Low, Moderate"
silver spike ,,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),"Low, Winter dry"
"heliconia, lobster claw ",Moderate,"Full sun, Part sun/part shade",,Zone 11: (above 4 C),NA
blue oat grass ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry"
"summer sun heliopsis, false sunflower, oxeye sunflower ",Fast,Full sun,,Zone 4: (-34 to -29 C),NA
"heliotrope , cherry pie ",Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Moderate
hybrid Lenten rose ,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),NA
stinking hellebore ,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
Christmas rose ,Slow,Part sun/part shade,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Moderate
lenten rose ,,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
Stella d'Oro daylily ,Fast,Full sun,,Zone 3: (-40 to -34 C),NA
daylily ,Fast,Full sun,,Zone 3: (-40 to -34 C),Summer dry
waffle plant,,,,Zone 10: (-1 to 4 C),Moderate
cow parsnip ,Fast,Full sun,"Bog, Well-drained",Zone 3: (-40 to -34 C),NA
giant hogweed ,Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),High
"rupturewort , green carpet ",Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),NA
crimson flag ,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),Low
"coral bells , alumroot",Moderate,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
coral bells ,,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
"hybrid coral bells, fancy-leaved coral bells ",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
fancy-leaved coral bells ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low
Palace Purple alumroot ,Slow,"Deep shade, Filtered shade, Full sun",Well-drained,Zone 5: (-29 to -23 C),"Low, Moderate"
"fancy-leafed coral bells , small-flowered alumroot , crevice alumroot",Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),NA
"coral bells, red coral bells ",Moderate,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
"cranberry hibiscus, African rosemallow , false roselle",Fast,Full sun,Well-drained,Zone 11: (above 4 C),Moderate
"hardy hibiscus, swamp rose mallow",,Full sun only if soil kept moist,"Bog, Humus rich",Zone 7: (-18 to -12 C),Moderate
Chinese hibiscus,Moderate,,"Acidic, Well-drained",Zone 9: (-7 to -1 C),High
"hardy hibiscus, rose of Sharon",Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
orange hawkweed ,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),NA
amaryllis ,,"Full sun only if soil kept moist, Part sun/part shade",,Zone 8b: (-9.4 to -7 C),Moderate
velvet grass ,,,,Zone 5: (-29 to -23 C),NA
oceanspray ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),NA
barley,Fast,Full sun,"Alkaline, Well-drained",Zone 3: (-40 to -34 C),NA
Halcyon hosta ,Moderate,"Deep shade, Filtered shade",Humus rich,Zone 4: (-34 to -29 C),Moderate
Invincible hosta ,,"Full sun only if soil kept moist, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
June hosta ,Fast,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),NA
Dawn's Early Light hosta ,Moderate,"Deep shade, Filtered shade, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
Aristocrat hosta  ,,"Deep shade, Filtered shade, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
Gold Edger hosta ,,"Deep shade, Filtered shade, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
Blue Boy hosta ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
"hosta, plantain lily",Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 4: (-34 to -29 C),Moderate
Frances Williams hosta ,Fast,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Low
Sum and Substance hosta ,Fast,"Deep shade, Filtered shade, Part sun/part shade",Acidic,Zone 4: (-34 to -29 C),Low
blue hosta ,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
water violet ,Fast,Full sun,Bog,Zone 6: (-23 to -18 C),"Aquatic, Wetlands"
thyme-leaved bluets,Moderate,Full sun,,Zone 5: (-29 to -23 C),NA
"tricolor houttuynia, chameleon plant",Fast,"Filtered shade, Full sun, Part sun/part shade","Bog, Humus rich",Zone 5: (-29 to -23 C),High
wax plant,,,Well-drained,Zone 10: (-1 to 4 C),Low
common hop ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low
English bluebell ,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
hyacinth,,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
"hills of snow, smooth hydrangea",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
"Chinese hydrangea, rough-leaved hydrangea",,"Filtered shade, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),NA
bigleaf hydrangea,Fast,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Alkaline, Well-drained",Zone 6: (-23 to -18 C),High
pee gee hydrangea,Fast,"Filtered shade, Full sun",Well-drained,Zone 3: (-40 to -34 C),Moderate
climbing hydrangea,Fast,"Filtered shade, Full sun",Well-drained,Zone 4: (-34 to -29 C),Moderate
oakleaf hydrangea,,"Full sun only if soil kept moist, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
"Autumn Joy sedum, hybrid stonecrop ",Slow,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
spider lily ,Moderate,"Full sun only if soil kept moist, Part sun/part shade",Bog,Zone 10: (-1 to 4 C),High
Hidcote St. John's wort ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),"Low, Moderate"
St. John's wort ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
false dandelion ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Low
polka-dot plant,Fast,,,Zone 10: (-1 to 4 C),Moderate
"evergreen candytuft, rock candytuft, candytuft ",Fast,"Full sun, Part sun/part shade","Alkaline, Well-drained",Zone 4: (-34 to -29 C),Moderate
Blue Prince blue holly ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
Centennial Girl holly ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
camellia leaf holly ,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
silver hedgehog holly ,Slow,Full sun,,Zone 7: (-18 to -12 C),NA
English holly ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate
silver-margined English holly ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
Japanese holly ,Moderate,"Filtered shade, Full sun","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
inkberry ,Slow,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
hybrid impatiens,,"Deep shade, Filtered shade, Part sun/part shade",,Zone 11: (above 4 C),NA
"jewelweed , orange balsam ",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich",Zone 2: (-46 to -40 C),High
Himalayan balsam ,Fast,Part sun/part shade,"Bog, Humus rich",Zone 5: (-29 to -23 C),High
New Guinea impatiens,Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate
impatiens,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),High
Japanese blood grass ,Moderate,"Filtered shade, Full sun",Well-drained,Zone 6: (-23 to -18 C),"Moderate, Wetlands"
elecampane ,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
sweet potato vine ,Fast,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate
bloodleaf,,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),Moderate
"German iris, tall bearded iris",Fast,Full sun,,Zone 3: (-40 to -34 C),NA
Dutch iris,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Juno iris,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Japanese water iris,Moderate,"Full sun, Part sun/part shade",Humus rich,Zone 5: (-29 to -23 C),Aquatic
variegated sweet iris,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low
